Date,Open,High,Low,Close,Volume,Trend,Nextdaytrend
60508,295.8,296.3,291.79,293.47,4632216,0,0
50508,299.73,299.8,293.86,297.75,6288296,0,0
20508,299.54,301.53,289.94,290.94,6999258,0,1
10508,289.44,297.76,288.77,296.84,6605847,1,1
300408,281.39,292.72,279.51,287.43,7904535,1,1
290408,275.69,281.98,275.28,279.51,4346436,1,1
280408,273.21,278.68,269.77,276.34,4010065,1,0
250408,274.78,276.78,271.64,272.3,4166074,0,0
240408,275.92,277.52,270.28,271.79,4138703,0,0
230408,279.25,279.93,270.75,273.52,4923072,0,1
220408,269.05,280.7,269.05,277.78,7941759,1,0
210408,269.96,271.57,265.41,269.16,7444117,0,1
180408,267.87,274.12,262.65,269.97,18238386,1,0
170408,228.04,229.91,223.48,224.99,13409137,0,1
160408,222.42,229.37,220.72,227.74,7630655,1,0
150408,229.29,230.09,222.08,223.64,4586501,0,0
140408,228.81,228.95,225.3,226.06,3842503,0,0
110408,232.27,233.86,227.73,228.95,4169117,0,1
100408,232.71,237.17,231.16,234.78,5073694,1,0
90408,234.8,236.24,229,232.33,6048035,0,0
80408,236.76,237.31,231.24,234.14,4550207,0,0
70408,238.75,242.96,237,238.65,5945423,0,1
40408,228.73,239.15,228.33,235.78,5898306,1,0
30408,231.1,231.88,224.29,227.79,6778451,0,0
20408,235.18,238.11,230.43,233.08,5999798,0,1
10408,224.09,233.48,223.66,233.09,6093549,1,1
310308,218.04,221.57,216.22,220.46,4446368,1,0
280308,223.95,227.01,217.37,219.26,4377076,0,0
270308,223.22,224.53,220.47,222.26,5832991,0,1
260308,226.52,231.67,224.87,229.32,5225697,1,0
250308,228.96,228.96,223.22,225.62,5833209,0,1
240308,219.43,233.12,219.08,230.51,6764494,1,1
200308,213.87,218.07,208.96,216.99,9913319,1,0
190308,220.78,223.97,216.05,216.22,6179192,0,1
180308,214.7,220.64,212.98,219.8,7240516,1,0
170308,214.21,217.07,206.26,210.14,7890149,0,0
140308,221.71,224.89,215.53,219.18,6574552,0,1
130308,216.55,223.71,214.6,221.73,7727576,1,1
120308,220.23,224.16,219.25,220.31,6652334,1,1
110308,212.84,220.3,212.54,220.14,8832034,1,0
100308,214.63,215.72,206.73,207.02,7989824,0,1
70308,214.65,220.22,213.33,216.89,8071768,1,0
60308,224.07,226.88,215.81,216.57,7471193,0,1
50308,222.85,227.31,222.22,224.07,7439608,1,0
40308,225.7,226.91,218.11,222.52,13628262,0,0
30308,235.99,236.6,225.28,228.74,7557087,0,0
290208,236.17,240.11,232.56,235.83,9426116,0,1
280208,235.49,239.78,233.91,237.93,6590488,1,1
270208,230.3,237.98,230.05,236.67,10127156,1,1
260208,230.83,233.47,223.65,232.33,23290879,1,0
250208,253.23,253.5,243.11,243.46,8372710,0,1
220208,251.28,254.75,249.02,254.15,5516076,1,0
210208,256.68,256.86,250,251.68,5678661,0,1
200208,252.01,255.76,249.66,254.75,6668010,1,0
190208,267.74,267.8,253.5,254.73,6352534,0,1
150208,264.42,266.6,262.43,265.08,5243414,1,0
140208,269.44,270.79,265.77,266.39,6480153,0,1
130208,261.51,267.76,259.6,267.58,6632316,1,0
120208,261.96,265.57,256.77,259.3,6662924,0,1
110208,260.52,262.12,256.96,260.84,5826685,1,1
80208,254.96,259.12,254.6,258.6,6828979,1,1
70208,248.68,257.35,247.63,252.73,7930092,1,0
60208,255.83,255.84,249.21,251.11,7640492,0,1
50208,244.96,254.75,244.5,253.65,11210033,1,0
40208,254.79,256.65,246.52,247.96,13160074,0,0
10208,264.6,268.6,255.25,258.21,17601684,0,1
310108,269.77,286.79,267.41,282.43,14871222,1,0
300108,274.87,280.5,272.03,274.41,7947343,0,0
290108,280.52,280.95,270.61,275.54,6284567,0,0
280108,285.77,286.41,274.57,278.27,5816620,0,0
250108,296.2,297.8,283.37,283.48,6965930,0,1
240108,279.68,290.13,277.35,287.53,9409332,1,0
230108,280.64,284.28,259.76,274.58,16971752,0,1
220108,281.3,299.05,280.88,292.47,9501793,1,0
180108,304.48,305.3,299.52,300.43,8540347,0,0
170108,310.69,313.18,299.3,300.7,8216873,0,0
160108,314.8,320.31,301.27,308.28,10562595,0,0
150108,323.43,324.85,318.01,319.14,5584773,0,1
140108,325.9,329.03,322.95,327.24,4448369,1,0
110108,321.67,325.06,315.37,319.44,4977597,0,1
100108,322.83,328.93,320.38,323.69,6334653,1,1
90108,315.34,327,311.57,326.93,6744242,1,0
80108,326.83,330.31,315.82,316.16,5341949,0,0
70108,327.3,331.47,318.99,324.95,6404945,0,0
40108,340.18,340.82,327.83,328.83,5359834,0,1
30108,342.97,343.77,338.6,343.01,3252846,1,0
20108,346.78,349.03,339.2,342.94,4306848,0,0
311207,349.63,351.6,345.64,346.09,2376478,0,0
281207,352.82,354.33,348.62,351.62,2562699,0,0
271207,353.89,358.36,350.72,350.72,2943242,0,1
261207,349.84,356.97,349.45,355.78,2530377,1,1
241207,347.84,350.72,346.88,350.72,1628440,1,0
211207,349.29,349.98,346.97,348.69,5394027,0,1
201207,343.26,345.85,340.65,345.19,4422920,1,1
191207,337.44,340.09,334.83,339.02,4425125,1,0
181207,337.42,338.69,326.58,337.01,7166879,0,0
171207,344.34,348.06,332.17,334.95,5489502,0,1
141207,344.1,350.2,343.97,345.32,3673495,1,0
131207,348.5,349.16,340.95,347.37,5182202,0,0
121207,357.36,357.52,344.59,350.02,6166134,0,0
111207,360.33,360.86,349.74,349.95,6142422,0,1
101207,358.35,362.76,357.36,359.57,3858284,1,0
71207,357.85,359.36,355.61,357.79,3852520,0,1
61207,349.25,358.64,348.85,357.99,4916014,1,1
51207,346.71,349.81,344.09,349.6,4212216,1,1
41207,339.49,346.35,338.9,342.42,4232399,1,0
31207,345.85,347.85,340.91,341.11,4329483,0,0
301107,355.86,355.89,341.4,346.85,7901777,0,1
291107,345.72,351.75,344.23,348.85,6214863,1,1
281107,341.4,347.5,336.41,346.48,7919050,1,0
271107,337.74,338.55,325.46,337.12,8905896,0,0
261107,340.4,347,332.8,333.3,6792108,0,1
231107,335.33,339.48,334.39,338.69,2739539,1,1
211107,322.21,335.32,321.36,330.59,7014231,1,1
201107,318.56,329.88,316.75,324.59,9840579,1,0
191107,315.11,318.7,309.56,313.24,5532464,0,0
161107,317.29,318.06,308.32,317.13,9043931,0,0
151107,319.6,324.07,312.31,315.14,6972499,0,0
141107,336.98,338.08,318.45,321.16,8102399,0,1
131107,322.82,330.79,316.35,330.61,8445305,1,0
121107,329.2,335.3,313.42,316.35,10235519,0,0
91107,338.23,341.28,330.94,332.32,11390236,0,0
81107,367.67,367.81,338.93,347.27,16517335,0,0
71107,370.94,373.99,361.93,366.84,8273434,0,1
61107,369.15,371.27,362.86,371.27,8441623,1,1
51107,353.85,365.48,353.39,363.19,8885626,1,1
21107,355.61,357.15,349.02,355.98,5842237,1,1
11107,351.75,357.22,351.24,351.96,6528949,1,1
311007,350.7,353.85,348.37,353.85,6884486,1,1
301007,339.09,350.3,339.09,347.73,6900524,1,1
291007,339.22,340.34,336.38,339.95,3066529,1,1
261007,337.35,338.61,334.36,337.64,3354536,1,0
251007,339.68,339.82,332.11,334.59,5798452,0,1
241007,336.69,339.07,330.11,338.25,7409295,1,1
231007,330.96,339.14,330.33,338.22,6799991,1,1
221007,319.65,327.83,318.46,325.7,6664306,1,0
191007,327.61,329.57,321.94,322.68,15783471,0,1
181007,318.02,321.01,314.56,320.13,12353796,1,1
171007,315.54,317.32,311.11,317.06,6030452,1,0
161007,309.55,313.27,306.3,308.31,6025266,0,0
151007,319.55,320.25,308.08,310.37,6948873,0,1
121007,312.3,319.52,309.43,319.01,6826850,1,0
111007,317.14,321.03,304.8,311.31,11800476,0,1
101007,310.99,313.15,308.71,313.01,5385599,1,1
91007,307.86,312.2,304.5,307.9,8769117,1,1
81007,297.8,305.44,297.27,305.11,5029116,1,1
51007,293.85,298.3,293.8,297.32,5072844,1,0
41007,292.84,292.84,288.82,289.8,2988773,0,0
31007,293.42,294.79,290.47,292.3,3884247,0,1
21007,291.98,298.7,290.3,292.49,7067477,1,1
11007,285.27,292.47,285.09,291.57,4714446,1,1
280907,283.78,285.06,282.34,283.92,2639328,1,0
270907,286.15,286.16,283.17,284.03,2056256,0,0
260907,285.49,286.18,282.19,284.36,3346447,0,1
250907,282.28,285.06,281.71,284.78,2730639,1,1
240907,280.78,286.02,280.28,284.29,5299786,1,1
210907,278.45,280.68,276.69,280.33,8012546,1,1
200907,273.77,278.68,273.29,276.69,5531347,1,1
190907,269.9,275,269.7,273.7,5527900,1,1
180907,263.52,268.89,262.4,267.9,4223173,1,0
